Tomasz Drwal 
Robert Drysdale 
Joe Duarte 
Todd Duffee 
Kelly Dullanty 
Evan Dunham 
Reuben Duran 
Matt Dwyer 
Marvin Eastman 
Mike Easton 
Brian Ebersole 
Stav Economou 
Mark Eddiva 
Frankie Edgar 
Carlos Eduardo 
Johnny Eduardo 
Justin Edwards 
Yves Edwards 
Justin Eilers 
Jon Olav Einemo 
Per Eklund 
Darren Elkins 
Jake Ellenberger 
Tim Elliott 
Jason Ellis
Aleksander Emelianenko 
Fedor Emelianenko 
Rob Emerson 
Yasubey Enomoto 
Tom Erikson 
Eric \"Butterbean\" Esch 
Cole Escovedo 
Efrain Escudero 
Braulio Estima 
Terry Etim 
Billy Evangelista 
Doug Evans 
Rashad Evans 
Dan Evensen 
Edward Faaloloto 
Urijah Faber 
Wagnney Fabiano 
Maiquel Falcão 
Gustavo Falciroli 
Brodie Farber 
Paul Felder 
Kevin \"Kimbo Slice\" Ferguson 
Tony Ferguson 
Bibiano Fernandes 
Alexandre Ferreira 
Carlos Diego Ferreira 
Cezar Ferreira 
Scott Ferrozzo 
Drew Fickett 
Edwin Figueroa 
Paulo Filho 
Andre Fili 
Mirko \"Cro Cop\" Filipovic 
Perry Filkins 
Luigi Fioravanti 
Luiz Firmino 
Jason Fischer 
Spencer Fisher 
Jon Fitch 
Colin Fletcher 
Kenny Florian 
Caros Fodor 
Eduard Folayang 
Jesse Forbes 
Ryan Ford 
Renee Forte 
Brian Foster 
Kenny Foster 
Hermes França 
John Franchi 
Rich Franklin 
Zane Frazier 
Ian Freeman 
Patricio Freire 
Patricky Freire 
Willamy Freire 
Clay French 
Don Frye 
Tony Fryklund 
Yutaka Fuji 
Katsuhisa Fujii 
Mitsuo Fujikura 
Kazuyuki Fujita 
Yuji Fujita 
Keisuke Fujiwara 
Masato Fujiwara 
Riki Fukuda 
Satoshi Fukuoka 
Travis Fulton 
Masakatsu Funaki 
Ricardo Funch 
Ricardo Fyeet 
Mitch Gagnon 
Zelg Galesic 
Vener Galiev 
André Galvão 
Marcos Galvão 
Mauro Galvão 
Manvel Gamburyan 
Alex Garcia 
Edgar Garcia 
Leonard Garcia 
Steve Garcia 
Pablo Garza 
Brian Gassaway 
Kelvin Gastelum 
Louis Gaudinot 
Chad George 
Kamen Georgiev 
Tiki Ghosn 
Cody Gibson 
Lance Gibson 
Kultar Gill 
Bob Gilstrap 
Brandon Girtz 
Konstantin Gluhov 
Rodney Glunder 
Allan Goes 
Bakouri Gogitidze 
Bryan Goldsby 
Sergey Golyaev 
Anthony Gomez 
Frank Gomez 
Mikey Gomez 
Ulysses Gomez 
Takanori Gomi 
Akihiro Gono 
Gabriel Gonzaga 
Fernando Gonzalez 
Ismael Gonzalez 
Lyman Good 
Herbert Goodman 
Gary Goodridge 
Gerard Gordeau 
Eddie Gordon 
Jonathan Goulet 
Wilson Gouveia 
Damian Grabowski 
Daniel Gracie 
Neiman Gracie 
Ralek Gracie 
Renzo Gracie 
Rickson Gracie 
Rodrigo Gracie 
Roger Gracie 
Rolles Gracie 
Royce Gracie 
Royler Gracie 
Ryan Gracie 
Peter Graham 
TJ Grant 
Sergej Grecicho 
Sam Greco 
Bobby Green 
Desmond Green 
Matt Grice 
Forrest Griffin 
